신공학관 5125,203,105
신공학관 5127,164,105
신공학관 5128,149,152
신공학관 5130,149,189
신공학관 5132,149,229
신공학관 5134,149,263
신공학관 5141,282,306
신공학관 5143,237,306
신공학관 5145,189,306
신공학관 5147,87,306
신공학관 5157,149,75
신공학관 5159,164,105
신공학관 5161,205,105
신공학관 5층 남쪽 갈림길 A,149,59
신공학관 5층 남쪽 갈림길 B,149,105
신공학관 5층 남쪽 엘리베이터(남쪽 계단),308,59
신공학관 5층 남쪽 코너 A,91,89
신공학관 5층 남쪽 코너 B,118,58
신공학관 5층 북쪽 갈림길,150,305
신공학관 5층 북쪽 계단,301,306
신공학관 5층 북쪽 코너,88,304
신공학관 5층 중앙 계단,89,255
신공학관 5층 중앙 엘리베이터,119,306
신공학관 5층 화장실 갈림길 A,90,174
신공학관 5층 화장실 갈림길 B,148,175
신공학관 6101,55,310
신공학관 6103,68,270
신공학관 6105,68,230
신공학관 6107,68,191
신공학관 6109,68,151
신공학관 6112,68,106
신공학관 6115,172,80
신공학관 6119,269,80
신공학관 6120,282,56
신공학관 6122,269,80
신공학관 6127,128,103
신공학관 6128,128,152
신공학관 6130,128,193
신공학관 6132,128,232
신공학관 6134,128,269
신공학관 6141,204,311
신공학관 6144,128,311
신공학관 6147,69,311
신공학관 6층 남쪽 갈림길 A,69,79
신공학관 6층 남쪽 갈림길 B,129,80
신공학관 6층 남쪽 엘리베이터(남쪽 계단),283,78
신공학관 6층 북쪽 계단,281,310
신공학관 6층 중앙 계단,69,249
신공학관 6층 중앙 엘리베이터,110,311
신공학관 6층 화장실 갈림길 A,68,177
신공학관 6층 화장실 갈림길 B,127,177
신공학관 7층 갈림길 E,64,82
신공학관 7층 갈림길 G,126,287
신공학관 7층 남쪽 갈림길 A,261,54
신공학관 7층 남쪽 갈림길 B,260,102
신공학관 7층 남쪽 갈림길 C,125,53
신공학관 7층 남쪽 갈림길 D,125,102
신공학관 7층 남쪽 엘리베이터(남쪽 계단),279,73
신공학관 7층 복도 끝 F,66,286
신공학관 7층 북쪽 계단,285,334
신공학관 7층 원흥관 방면 입/출구,95,334
신공학관 7층 중앙 계단,67,247
신공학관 7층 중앙 엘리베이터,97,288
신공학관 7층 화장실 갈림길 A,65,174
신공학관 7층 화장실 갈림길 B,128,173
신공학관 9층 갈림길 E,86,85
신공학관 9층 갈림길 G,152,279
신공학관 9층 남쪽 갈림길 A,309,52
신공학관 9층 남쪽 갈림길 B,309,104
신공학관 9층 남쪽 갈림길 C,154,54
신공학관 9층 남쪽 갈림길 D,154,102
신공학관 9층 남쪽 엘리베이터(남쪽 계단),331,75
신공학관 9층 중앙 계단,86,241
신공학관 9층 중앙 엘리베이터,120,330
신공학관 9층 중앙도서관 방면 입/출구,84,330
신공학관 9층 중앙도서관 방면 입/출구 끝,57,330
신공학관 9층 화장실 갈림길 A,86,169
신공학관 9층 화장실 갈림길 B,154,169
신공학관 남쪽 엘리베이터 (남쪽 계단 A),276,75
